TrendID,Date,CategoryID,MarketDemandIndex,CompetitorPrice,PromotionalActivity,Seasonality,ConsumerSentimentIndex,Region,EconomicIndicator
1,1/1/2023,1,75,520,High,Winter,80,Northeast,5.5
2,1/2/2023,2,85,950,Medium,Winter,85,West,5.2
3,1/3/2023,3,65,85,Low,Spring,70,Midwest,5.7
4,1/4/2023,1,80,510,High,Spring,82,Southeast,5.8
5,1/5/2023,4,90,940,Medium,Spring,87,Southwest,6
6,1/6/2023,9,70,80,Low,Summer,75,Northwest,5.4
7,1/7/2023,8,85,500,High,Summer,88,West,6.2
8,1/8/2023,8,95,930,Medium,Summer,90,East,6.1
9,1/9/2023,6,60,75,Low,Fall,68,Midwest,5.6
10,1/10/2023,4,78,515,High,Fall,81,Southeast,5.9
11,1/11/2023,7,88,920,Medium,Fall,86,Northwest,5.8
12,1/12/2023,7,62,70,Low,Winter,69,Northeast,5.5
13,1/13/2023,5,76,525,High,Winter,81,West,5.4
14,1/14/2023,4,87,940,Medium,Winter,84,Midwest,5.3
15,1/15/2023,7,64,80,Low,Spring,71,Southeast,5.9
16,1/16/2023,5,82,530,High,Spring,83,Southwest,6
17,1/17/2023,5,92,950,Medium,Spring,88,Northwest,5.6
18,1/18/2023,5,72,85,Low,Summer,76,Northeast,5.7
19,1/19/2023,10,86,510,High,Summer,89,West,6.3
20,1/20/2023,6,96,960,Medium,Summer,91,Midwest,6.2
21,1/21/2023,10,63,75,Low,Fall,70,Southeast,5.8
22,1/22/2023,10,79,520,High,Fall,82,Southwest,5.9
23,1/23/2023,10,89,930,Medium,Fall,87,Northwest,6
24,1/24/2023,10,61,70,Low,Winter,68,Northeast,5.6
25,1/25/2023,10,77,530,High,Winter,82,West,5.5
26,1/26/2023,5,86,950,Medium,Winter,85,Midwest,5.4
27,1/27/2023,5,66,80,Low,Spring,71,Southeast,5.8
28,1/28/2023,5,81,515,High,Spring,84,Southwest,5.9
29,1/29/2023,5,91,940,Medium,Spring,89,Northwest,6.1
30,1/30/2023,5,73,85,Low,Summer,77,Northeast,5.6
31,1/31/2023,7,87,500,High,Summer,90,West,6.4
32,2/1/2023,7,97,930,Medium,Summer,92,Midwest,6.3
33,2/1/2023,10,64,75,Low,Fall,71,Southeast,5.7
34,2/2/2023,10,79,520,High,Fall,83,Southwest,5.8
35,2/3/2023,4,90,920,Medium,Fall,88,Northwest,5.9
36,2/4/2023,10,62,70,Low,Winter,69,Northeast,5.5
37,2/5/2023,10,78,525,High,Winter,81,West,5.4
38,2/6/2023,4,86,940,Medium,Winter,84,Midwest,5.3
39,2/7/2023,6,65,80,Low,Spring,70,Southeast,5.9
40,2/8/2023,6,83,510,High,Spring,85,Southwest,6
41,2/9/2023,5,93,950,Medium,Spring,89,Northwest,5.7
42,2/10/2023,5,71,85,Low,Summer,75,Northeast,5.6
43,2/11/2023,6,88,500,High,Summer,91,West,6.5
44,2/12/2023,5,98,960,Medium,Summer,93,Midwest,6.4
45,2/13/2023,5,60,75,Low,Fall,68,Southeast,5.6
46,2/14/2023,4,79,515,High,Fall,82,Southwest,5.7
47,2/15/2023,6,88,930,Medium,Fall,86,Northwest,5.8
48,2/16/2023,4,63,70,Low,Winter,69,Northeast,5.4
49,2/17/2023,10,76,525,High,Winter,80,West,5.5
50,2/18/2023,10,87,950,Medium,Winter,85,Midwest,5.2
51,2/19/2023,10,66,85,Low,Spring,71,Southeast,5.8
52,2/20/2023,10,82,510,High,Spring,83,Southwest,5.9
53,2/21/2023,10,92,940,Medium,Spring,87,Northwest,6
54,2/22/2023,10,70,80,Low,Summer,76,Northeast,5.4
55,2/23/2023,10,85,500,High,Summer,88,West,6.2
56,2/24/2023,10,96,930,Medium,Summer,91,Midwest,6.1
57,2/25/2023,10,61,75,Low,Fall,69,Southeast,5.7
58,2/26/2023,10,78,515,High,Fall,81,Southwest,5.8
59,2/27/2023,10,89,920,Medium,Fall,86,Northwest,5.9
60,2/28/2023,10,62,70,Low,Winter,68,Northeast,5.5
61,3/1/2023,1,77,530,High,Winter,82,West,5.4
62,3/1/2023,2,86,950,Medium,Winter,84,Midwest,5.3
63,3/2/2023,3,64,80,Low,Spring,70,Southeast,5.9
64,3/3/2023,1,81,515,High,Spring,84,Southwest,6
65,3/4/2023,4,91,940,Medium,Spring,89,Northwest,5.6
66,3/5/2023,9,73,85,Low,Summer,77,Northeast,5.7
67,3/6/2023,8,87,500,High,Summer,90,West,6.3
