TransactionID,CustomerID,ProductID,Date,Quantity,Price,TotalPrice,PaymentMethod,StoreLocation,Salesperson
1,1,1,1/1/2023,2,500,1000,Credit Card,New York,John Doe
2,2,2,1/2/2023,1,1000,1000,Cash,Los Angeles,Jane Smith
3,3,3,1/3/2023,3,300,900,Debit Card,Chicago,Jim Brown
4,4,4,1/4/2023,4,200,800,PayPal,Houston,Anna Williams
5,5,5,1/5/2023,1,700,700,Credit Card,Philadelphia,Robert Brown
6,6,6,1/6/2023,2,250,500,Cash,Phoenix,Linda Davis
7,7,7,1/7/2023,3,50,150,Debit Card,San Antonio,Michael Johnson
8,8,8,1/8/2023,1,30,30,PayPal,San Diego,Patricia Miller
9,9,9,1/9/2023,2,150,300,Credit Card,Dallas,Charles Wilson
10,10,10,1/10/2023,3,100,300,Cash,San Jose,Elizabeth Jones
11,11,11,1/11/2023,5,80,400,Debit Card,Austin,Barbara Garcia
12,12,12,1/12/2023,2,150,300,PayPal,Jacksonville,Daniel Martinez
13,13,13,1/13/2023,4,100,400,Credit Card,San Francisco,Emma Davis
14,14,14,1/14/2023,1,70,70,Cash,Indianapolis,John Doe
15,15,15,1/15/2023,3,120,360,Debit Card,Columbus,Jane Smith
16,16,16,1/16/2023,2,25,50,PayPal,Fort Worth,Jim Brown
17,17,17,1/17/2023,4,10,40,Credit Card,Charlotte,Anna Williams
18,18,18,1/18/2023,1,50,50,Cash,Detroit,Robert Brown
19,19,19,1/19/2023,3,400,1200,Debit Card,El Paso,Linda Davis
20,20,20,1/20/2023,2,600,1200,PayPal,Memphis,Michael Johnson
21,21,21,1/21/2023,4,300,1200,Credit Card,Boston,Patricia Miller
22,22,22,1/22/2023,1,800,800,Cash,Seattle,Charles Wilson
23,23,23,1/23/2023,2,350,700,Debit Card,Denver,Elizabeth Jones
24,24,24,1/24/2023,3,200,600,PayPal,Washington,Barbara Garcia
25,25,25,1/25/2023,1,100,100,Credit Card,Nashville,Daniel Martinez
26,26,26,1/26/2023,5,150,750,Cash,Baltimore,Emma Davis
27,27,27,1/27/2023,4,75,300,Debit Card,Louisville,John Doe
28,28,28,1/28/2023,2,100,200,PayPal,Portland,Jane Smith
29,29,29,1/29/2023,1,30,30,Credit Card,Oklahoma City,Jim Brown
30,30,30,1/30/2023,3,70,210,Cash,Milwaukee,Anna Williams
31,31,31,1/31/2023,4,80,320,Debit Card,Las Vegas,Robert Brown
32,32,32,2/1/2023,1,60,60,PayPal,Albuquerque,Linda Davis
33,33,33,2/2/2023,2,40,80,Credit Card,Tucson,Michael Johnson
34,34,34,2/3/2023,3,100,300,Cash,Fresno,Patricia Miller
35,35,35,2/4/2023,4,150,600,Debit Card,Sacramento,Charles Wilson
36,36,36,2/5/2023,2,800,1600,PayPal,Mesa,Elizabeth Jones
37,37,37,2/6/2023,1,1000,1000,Credit Card,Kansas City,Barbara Garcia
38,38,38,2/7/2023,5,40,200,Cash,Atlanta,Daniel Martinez
39,39,39,2/8/2023,3,200,600,Debit Card,Omaha,Emma Davis
40,40,40,2/9/2023,4,120,480,PayPal,Miami,John Doe
41,41,41,2/10/2023,1,30,30,Credit Card,Tulsa,Jane Smith
42,42,42,2/11/2023,2,15,30,Cash,Wichita,Jim Brown
43,43,43,2/12/2023,3,50,150,Debit Card,New Orleans,Anna Williams
44,44,44,2/13/2023,4,20,80,PayPal,Arlington,Robert Brown
45,45,45,2/14/2023,2,25,50,Credit Card,Cleveland,Linda Davis
46,46,46,2/15/2023,1,200,200,Cash,Tampa,Michael Johnson
47,47,47,2/16/2023,5,120,600,Debit Card,Aurora,Patricia Miller
48,48,48,2/17/2023,3,150,450,PayPal,Honolulu,Charles Wilson
49,49,49,2/18/2023,4,30,120,Credit Card,Lexington,Elizabeth Jones
50,50,50,2/19/2023,2,300,600,Cash,Stockton,Barbara Garcia
51,51,51,2/20/2023,1,50,50,Debit Card,Corpus Christi,Daniel Martinez
52,52,52,2/21/2023,3,60,180,PayPal,Henderson,Emma Davis
53,53,53,2/22/2023,4,80,320,Credit Card,Riverside,John Doe
54,54,54,2/23/2023,2,100,200,Cash,Saint Paul,Jane Smith
55,55,55,2/24/2023,1,150,150,Debit Card,Cincinnati,Jim Brown
56,56,56,2/25/2023,5,40,200,PayPal,Anchorage,Anna Williams
57,57,57,2/26/2023,3,30,90,Credit Card,Toledo,Robert Brown
58,58,58,2/27/2023,2,120,240,Cash,Newark,Linda Davis
59,59,59,2/28/2023,1,800,800,Debit Card,Greensboro,Michael Johnson
60,60,60,3/1/2023,4,500,2000,PayPal,Plano,Patricia Miller
61,61,1,3/2/2023,3,500,1500,Credit Card,Lincoln,Charles Wilson
62,62,2,3/3/2023,2,1000,2000,Cash,Orlando,Elizabeth Jones
63,63,3,3/4/2023,1,300,300,Debit Card,Durham,Barbara Garcia
64,64,4,3/5/2023,5,200,1000,PayPal,Irvine,Daniel Martinez
65,65,5,3/6/2023,4,700,2800,Credit Card,St. Petersburg,Emma Davis
66,66,6,3/7/2023,2,250,500,Cash,Chula Vista,John Doe
67,67,7,3/8/2023,1,50,50,Debit Card,Fort Wayne,Jane Smith
68,68,8,3/9/2023,3,30,90,PayPal,Laredo,Jim Brown
69,69,9,3/10/2023,4,150,600,Credit Card,Chandler,Anna Williams
70,70,10,3/11/2023,2,100,200,Cash,North Las Vegas,Robert Brown
71,71,11,3/12/2023,1,80,80,Debit Card,Reno,Jim Brown
72,72,12,3/13/2023,5,150,750,PayPal,Irving,Anna Williams
